Title,Authors,Date,Publisher,isbn,Language,Waiting Peoples
CARE OF THE NEW BORN REVISED 8ED (2017),Meharban Singh,2017,CBS Publishers & Distributors Private Limited,9788123925882,english,1
Historia y perspectiva actual de la educación infantil,Carmen . . . [et al. ] Colmenar Orzaes,2010,Grao,9788478279364,italian,1
Collide,Stephanie Shea,2021,Independently Published,9798418447340,italian,1
Wicca Herbal Magic,Monica Candle,2019,empty,9781075766329,English,1
Petit livre de l'empathie,Mariette Strub-Delain,2021,empty,2412066396,English,1
外国文学史,王立新,2013,empty,9787040372038,English,1
A World of Insecurity,Pranab Bardhan,2022,Harvard University Press,9780674259843,English,1
The Fowlers of Sweet Valley,"Kate William, Francine Pascal",1996,Sweet Valley,055357003X,English,1
La familia,Sara Mesa,2022,Editorial Anagrama,8433999540,English,1
Research handbook on international marine environmental law,rosemary rayfuse,2022,empty,9781789909074,English,1
International Environmental Law,"Malgosia Fitzmaurice, Meagan S. Wong, Joseph Crampin",2020,Edward Elgar Publishing,9781785367915,English,1
"All-In-One PMP(R) EXAM PREP Kit,1300 Question, Answers, and Explanations, 240 Plus Flashcards, Templates and Pamphlet Updated for Jan 2021 Exam",Darron Clark,2021,empty,1734133457,English,1
PMP Exam Prep,Rita Goodrich,2020,empty,9798718186345,English,1
"PMP(R) Questions, Answers and Explanations Updated for 2020-2021 Exam",Darron Clark,2021,empty,1734133449,English,1
PMP Exam Prep 2021 & 2022,Matthew Bowling,2022,empty,1516715160,English,1
Cambridge IGCSE(tm) Physics Study and Revision Guide Third Edition,"Catherine Jones Mike Folland, Catherine Jones",2022,Hodder Education,9781398361379,English,1
Beni Sec,"Tess Gerritsen, Gary Braver",2022,empty,9786258344516,English,1
The Breakfast Club Adventures,Marcus Rashford,2021,Macmillan Children's Books,9781529076622,English,1
Cartas desde la oscuridad del armario,Hilario Marín Martínez,1996,empty,9788411115551,English,1
Jessica's Secret Diary,"Kate William, Francine Pascal",2022,Sweet Valley,0553570048,English,1
This is what it sounds like,"Susan Rogers, Ogi Ogas",1994,"Bezige Bij b.v., Uitgeverij De",9789403193519,English,1
A Night to Remember,"Kate William, Francine Pascal",2021,empty,0553407570,English,1
Persian Mythology,Matt Clayton,2014,empty,9781953934239,English,1
Outstanding Formative Assessment: Culture and Practice,Shirley Clarke,1992,empty,1306983541,English,1
Todd's Story,"Kate William, Francine Pascal",1991,Sweet Valley,0553292072,English,2
Olivia's Story,"Kate William, Francine Pascal",1990,Sweet Valley,0553293591,English,2
Lila's Story,"Kate William, Francine Pascal",2008,Bantam Press,0553402099,English,2
¡Saber y hacer!,Kenneth H. Blanchard,2011,empty,9788483581087,English,1
Perceptions of Zoroastrian Realities in the Shahnameh,Kolsoum Ghazanfari,2015,Logos Verlag Berlin,9783832528683,English,1
The Jurisprudence of Lord Hoffmann,"Paul S Davies, Justine Pila",2020,Hart Publishing,9781849465915,English,1
An Introduction to the Shah-Nameh of Firdousi,Jamshedji D. Khandalwala,2022,empty,9783337972738,English,1
Christmas Deal,Misa Miliko,1989,Addictives - Luv,9791025756980,English,1
Lila's Story,"Kate William, Francine Pascal",2022,Sweet Valley,0553282964,English,1
Baldur Von Schirach,Oliver Rathkolb,2022,Frontline Books,9781399020954,English,1
"Spicy, sunny, Christmas",Malo Wolff,2022,BMR,9782017184348,English,1
Ti prenderai cura di me? ,Arianna Bonati,1996,empty,9791281052147,English,1
A Killer on Board,"Kate William, Francine Pascal",1996,empty,0553503774,English,1
A Stranger in the House,"Kate William, Francine Pascal",1987,empty,0553503650,English,1
Loro ,Kay Dick,2021,empty,9788833894089,English,1
Double Jeopardy,"Kate William, Francine Pascal",2022,Sweet Valley,0553269054,English,1
Non è un libro per hacker. Cyber security e digital forensics raccontate dal punto di vista dell'analista,Stefano Fratepietro,2022,empty,8857913015,English,1
Love Story à Georgetown,Cyndie Soue,1998,Éditions Sharon Kena,9782819109549,English,1
"Best Friend, Best Lover",Audrey Laloi,2013,HarperCollins,9782280485319,English,1
Mystery Date,"Kate William, Francine Pascal",2020,empty,9780553506686,English,1
Το ταξίδι στην Ελλάδα,Δημήτρης Νόλλας,2016,empty,9789609527729,English,1
The Knowledge Plexus,George Chorafakis,2022,Vernon Press,162273047X,English,1
Asian Department Stores,Kerrie L. MacPherson,2020,empty,9781138963962,English,1
Research Methods for Digital Discourse Analysis,Camilla Vásquez,2021,empty,9781350166837,English,1
Thermal Properties of Bio-based Polymers,"Maria Laura Di Lorenzo, René Androsch",2016,Springer Nature,9783030399627,English,1
The Famous Quartet of Piraeus,Giorgos Skabardonis,2006,Europe Comics,9791036882159,English,1
Between Two Ancient Cultures,Yusuf Emrah Ilik,2021,empty,9798526697279,chinese,1
The Trump Tapes,Bob Woodward,2022,empty,9781797124728,french,1
Rethinking Utopia and Utopianism,Lyman Tower Sargent,2022,Peter Lang Publishing,9781800794900,french,1
Designed to Perform,Tom Dollard,2021,Riba Publishing,9781914124266,french,1
"Felici si diventa. 22 rituali per superare i blocchi emotivi e ritrovare equilibrio, energia e benessere",Natacha Calestrémé,2017,empty,9788867026739,english,1
The Oxford Handbook of Philosophy of Love: Love and the law,"Christopher Grau, Aaron Smuts",2000,empty,0199395721,french,1
顾太清与海淀,金启孮,2021,empty,7200041017,spanish,1
Stato d'assedio,Duccio Balestracci,2007,empty,8815292101,french,1
The Economy and the Vote,"Wouter van der Brug, Cees van der EijK, Mark Franklin",2018,Cambridge University Press,0521682339,french,1
Life Lessons from Revelation,Max Lucado,2018,Inspirational Bible Study; Lif,9780310086666,English,1
Life Lessons from Philippians,Max Lucado,2008,Life Lessons,9780310086505,English,1
Geography Through Art,"Sharon Jeffus, Jamie Aramini",2014,Geography Matters,1931397589,English,1
Air Is Not Oxygen,"Bill Morelan, Ph.d., Bill Morelan Ph D",2022,CreateSpace,1500389013,English,1
A través de la lluvia (Trilogía Hermanos Hidalgo 3),Ariana Godoy,2022,MONTENA,9788419085856,English,1
5小时吃透小红书,厦九九,2011,empty,9787115595973,English,1
Créer et gérer un bar,Arnaud Ducrocq,2022,empty,9782867394416,English,1
プリマドールビジュアルファンブック,電撃G’sマガジン編集部,2013,empty,4049146355,English,1
Le droit du cheval et de l'équitation,Manuel Carius,2012,empty,9782855572567,English,1
Créer et gérer un centre équestre,Guillaume Duprez,2021,empty,9782867394607,English,1
Transformer son idée en vrai business: Tous les concepts indispensables à connaître. Simplifiés & illustrés.,Jean-Luc Ratiskol,2022,empty,9798785376953,English,1
Just Sayin',Malorie Blackman,2018,Merky Books,1529118670,English,1
Breve viaggio in Brasile,Stefan Zweig,1988,Le occasioni,8836816118,English,1
La Main visible des managers,Alfred Dupont Chandler,2018,empty,9782717816914,English,1
Si tu veux changer ta vie...commmence par faire ton lit,William H McRaven,2020,empty,9782100779611,English,1
Création d'entreprise pour débutant qui veut gagner de l'argent: les thèmes importants vous devez connaître et comprendre avant créer votre entreprise,Philippe Massol,2017,empty,9791091224321,English,1
Les parlers jeunes dans l'Île-de-France multiculturelle,Françoise Gadet,2021,Ophrys Editions,9782708014916,English,1
Idées D'affaires,Investir de Investir de manière intelligente,2022,empty,9798532487628,English,1
Comment lancer son entreprise et faire fructifier son idée sans expérience,Alexis Carlet,2022,empty,9798832726960,English,1
Atlante geopolitico dello spazio post-sovietico. Confini e conflitti,S. A. Bellezza,2018,empty,8828404264,English,1
Liberation Into Orgasm,Sofia Sundari,2021,Sofia Sundari,9781732182400,English,1
"Créer, reprendre, gérer un camping",Victoire Delory,2018,empty,9782867396847,English,1
Africa's Sankofa Innovation,Ndubuisi Ekekwe,2011,empty,9781980419709,English,1
Créer et gérer un centre de bien-être,"Georges Margossian, Siska von Saxenburg",2009,Editions Eyrolles,9782212548679,English,1
The Facial Hair Handbook,Jack Passion,2008,empty,9780615291598,English,1
"Le spa, l'univers du bien-être",Galya Ortega,2006,Ellebore,9782868989017,English,1
Créer et gérer son étang de pêche,Bernard Breton,2014,empty,9782840387176,English,1
"Acheter, créer, gérer son entreprise en Allemagne",Jean-Marc Fournier,2014,Editions Eyrolles,9782212559125,English,1
The Little Book of Beards,Rufus Cavendish,2022,Summersdale,9781849536233,English,1
 All Rocs Wise & Wonderful,T.M. Baumgartner,2017,empty,9781952865206,English,1
Of Beards and Men,Christopher Oldstone-Moore,2006,University of Chicago Press,9780226479200,English,1
Créer et gérer une entreprise audiovisuelle,Pierre Kuperberg,2022,empty,9782844811103,English,1
"Enseignez l’argent à vos enfants: Le guide de l’éducation financière de 3 à 18 ans : argent, épargne et investissement en famille",Rémi de Truchis de Varennes,2022,empty,9789916410332,English,1
Sin etiquetas,Chelo García-Cortés,2013,empty,8401028847,English,1
Construisez et gérez votre patrimoine avec succès - Guide pour s'enrichir lentement...mais sûrement,Julien Delagrandanne,2006,empty,9782954214009,English,1
Der erste Brief des Paulus an die Korinther,Eckhard J. Schnabel,2020,R. Brockhaus Verlag GmbH &,9783417297249,English,1
Location meublée et saisonnière (avec modèles de contrats),Maud Velter,2000,empty,9782840019879,English,1
Le tourisme rural,François Moinet,2016,empty,9782855570563,English,1
Créer et gérer une photothèque,Caroline Lefranc,2021,Klog,9791092272161,English,1
Créer sa marque de vêtement pour 0 euro: De ta chambre à la Fashion Week (French Edition),Jean Caisse,2010,empty,9798730566484,English,1
Os andarilhos do bem,"Carlo Ginzburg, JONATAS BATISTA NETO",2001,empty,9788535917499,English,1
"Vendre Ses Créations en Ligne: Le Guide de l'Artisan pour Vendre sur Etsy, Amazon, Facebook, Instagram, Pinterest, eBay, Shopify, et Plus Encore",James Dillehay,2021,empty,9798521157310,french,2
Australia's Secret Army,Michael Veitch,2023,empty,0733648479,french,2
The Art of Growing a Beard,Marvin Grosswirth,2014,Courier Corporation,9780486783130,french,2
One Thousand Beards,Allan Peterkin,2001,arsenal pulp press,9781551521077,english,1
Communication Assertive,Gérard Blanc,2021,empty,9798731121903,french,1
Comment Fixer les Prix pour de l'Artisanat ou Tout Autre Objet que Vous Fabriquez pour Vendre,James Dillehay,2022,empty,9798430901967,english,1
Lessons in Psychoanalysis,DE MASI,2022,empty,9781912691883,french,1
Ouvrir un gîte ou une chambre d'hôte,Christelle Capo-Chichi,2022,empty,9782759048564,french,1
Lessons in Psychoanalysis,DE MASI,2022,empty,1912691884,chinese,1
Le premier temple,Klaus Schmidt,2015,empty,9782271081605,french,1
SURDÉLIVRER: Créer Une Entreprise pour toute la Vie en Jouant le Jeu Long Terme du Marketing Direct,Brian Kurtz,2021,empty,9798706809423,chinese,1
"Créer, organiser, gérer un groupe de PME",Yves de La Villeguérin,2020,empty,9782757907733,dutch,1
La méthode française,"Antoine Martinez, Laurent Mareschal, Sébastien Offner",2020,empty,9791091285605,japanese,1
Fundamental Analysis for Beginners: Grow Your Investment Portfolio Like A Pro Using Financial Statements and Ratios of Any Business with Zero Investing Experience Required,A.Z Penn,2022,empty,1397988460031,hungarian,1
"COMMENT CRÉER UNE PETITE ENTREPRISE POUR LES DÉBUTANTS 2021: UN GUIDE SIMPLE ET FACILE POUR SE LANCER, SUIVRE LES ACHATS DE VOS CLIENTS, ET BIEN PLUS ENCORE",Anthony Hunk,2022,empty,9798432013545,italian,1
Investing for Teens: 7 Step System of Beginner’s Stock Market Secrets for Teenagers to Achieve Financial Freedom by Age 21,J.P. Clarke,2022,empty,9798529455791,chinese,2
Géopolitique,Tim Marshall,2021,empty,9782092492383,french,2
100% Rye,Shannon Stonger,2015,CreateSpace,9781507771617,chinese,2
Petite histoire de France de Vercingétorix à nos jours,Jacques Bainville,2021,empty,9782915656244,English,1
Histoire de France,Jacques Bainville,2021,empty,9798539770815,English,1
艺术与启蒙,范昀,2013,empty,9787308122207,English,1
Ce qu'était un roi de France,Frantz Funck-Brentano,2020,Bibliotheque Nationale de France,9782367220307,English,1
Philosophie de la royauté,Yves-Marie Adeline,2015,empty,9782372710046,English,1
追寻真诚,范昀,2013,empty,9787208115255,English,1
The Many Meanings of Play,"Albert J. Solnit, Donald J. Cohen, Peter B. Neubauer",1993,empty,0300054386,English,1
An Introduction to Agile Data Engineering Using Data Vault 2. 0,Kent Graziano,2015,empty,1796584932,English,1
Louis XX,Daniel de Montplaisir,2018,empty,9782372540759,English,1
情感与正义：玛莎·努斯鲍姆的审美伦理世界 ,范昀,2022,empty,9787308228947,English,1
La révolution chrétienne,"Michel Viot, Guillaume de Tanoüarn",2012,empty,9782915988581,English,1
L'heure du royaume de France est-elle venue ?,Michel Viot,2018,empty,9782372710978,English,1
"Mort, Tome 0 : Le premier qui meurt à la fin",Adam Silvera,2022,empty,9782221265581,English,1
批判的限度 ,范昀,2022,empty,9787308228299,English,1
新日本语能力考试N5语法练习篇,"刘文照, 海老原博",2010,empty,9787562825227,English,1
Patchers of the Code,Cb Archer,2017,CB Archer,0994773722,English,1
Fighters of the Code,Cb Archer,2016,CB Archer,0994773714,English,1
De patroondenkers,Simon Baron Cohen,2022,empty,9789057125669,English,1
日本語能力試験完全模試 N5,"渡邉亜子, 青木幸子, 高橋尚子, 藤田朋世, 黒江理恵",2013,empty,4863921411,English,1
瞬撮アクションポーズ,Rio Sasaki,2017,empty,9784768309216,English,1
The Hiker,M. J. Ford,2021,Avon Books,9780008453350,English,1
Street ​Kitchen – A Nagy Sütiskönyv,Szilágyi Nóra,2019,empty,9786150060248,English,1
The First Advent in Palestine,Kelley Nikondeha,2022,Augsburg Fortress Publishers,9781506474793,English,1
L'anno in cui tutto è cambiato,LAURA MACALUSO,2021,empty,9798785411128,English,1
Photoshop CC wang zhan UI she ji quan cheng jie mi,赵中华,2019,empty,9787302526865,English,1
RTI,Kama Einhorn,2011,Scholastic Teaching Resources,9780545236966,English,1
9787302612285-Photoshop平面设计从新手到高手（第2版)(微课视频版）（从新手到高手）,姜旬恂，毛彤，王卓,2022,empty,9787302612285,English,1
Comment analyser les personnes,Robert Mercier,2020,empty,9798577362270,English,1
"How to Prevent Reading Difficulties, Grades PreK-3",Mark Weakland,2021,Corwin Press,9781071844052,English,1
回到未来的中国美学,高建平,2019,empty,7546166810,English,1
回到未来的中国美学,高建平,2019,empty,9787546166810,English,1
人人都爱PS——中文版Photoshop 2022技术教程（实例版 第2版）,人人都爱PS——中文版Photoshop 2022技术教程（实例版 第2版）,2022,empty,9787522607122,English,1
Pour en finir avec la colonisation,Bernard Lugan,2006,Editions du Rocher,9782268060200,french,1
Emergency General Surgery in Geriatrics,"Rifat Latifi, Fausto Catena, Federico Coccolini",2021,Springer Nature,9783030622152,chinese,1
Extra Practice for Struggling Readers: High-Frequency Words,Linda Ward Beech,2010,Teaching Resources,9780545124102,italian,1
Psychologie Humaine,Robert Mercier,2021,empty,9798597569840,italian,1
Week-by-week Phonics and Word Study,Wiley Blevins,2011,Scholastic Teaching Resources,9780439465892,dutch,1
Domination Mentale,Robert Mercier,2022,empty,9798403699730,chinese,1
Extra Practice for Struggling Readers: Phonics,Linda Ward Beech,2010,Teaching Resources,9780545124096,spanish,1
Photoshop 2022从入门到精通（微视频版）,徐珊珊，曹凯，宋扬,2022,empty,9787302614012,japanese,1
Orton Gillingham Decodable Readers,Rebecca T. Wilkerson,2022,empty,9798470794826,english,1
Proficiency in Reading Comprehension Simplifying the 'Passage' for you,Ajay Singh,2018,Arihant Publications India limited,9312145746,english,1
A Consumer's Guide to Understanding Qeeg Brain Mapping and Neurofeedback Training,Robert E. Longo,2018,empty,9781532047312,italian,1
L'Incroyable Pouvoir de l'amour,Stéphanie Brillant,2022,empty,2330160291,English,1
雨傘默默,Romain Gary,2013,empty,9789865896294,English,1
Le scienze della terra,Alfonso Bosellini,2021,empty,9788808503251,English,1
"The American Psychiatric Association Publishing Textbook of Personality Disorders, Third Edition","Andrew E. Skodol, M.D., John M. Oldham, M.D., M.S.",2018,American Psychiatric Pub,161537339X,English,1
Sebastian Smee on the Inner Life in the Digital Age,Sebastian Smee,2022,Black Incorporated,9781760640712,English,1
Storie di streghe ,AA.VV.,2020,empty,9798354632169,English,1
IMAGINED SPACES,KIRSTY GUNN,2017,empty,9780995512344,English,1
What They Didn't Teach You in Art School,"Rosalind Davis, Annabel Tilley",2021,Ilex Press,9781781572962,English,1
Mensenkennis voor beginners,Timon krause,2016,empty,9789401477277,English,1
人工智能,姚期智,2020,empty,9787302612797,English,1
Most People Are Stupid.,Tyson Prenter,2012,empty,1535156724,English,1
Animal Languages,Eva Meijer,2020,National Geographic Books,9780262044035,English,1
Agrometeorology in Extreme Events and Natural Disasters,H.P. Das,2014,CRC Press,9780415621120,English,1
如何从0到1,周频,2007,empty,9787302538929,English,1
萨米人萨满文化变迁研究,吴凤玲,2022,empty,750975755X,English,1
Ucrania: la primera batalla de la Tercera Guerra Mundial,zele,2005,empty,8423434192,English,1
The Theology of the Cross in Historical Perspective,Anna M. Madsen,1995,Wipf and Stock Publishers,9781597528351,English,1
The Modern Hippie Table: Recipes and Menus for Eating Simply and Living Beautifully,LAUREN. THOMAS,2003,empty,9781685550066,English,1
The Beauty of Old Korean Paintings,"Dongju Lee, Yong-hŭi Yi",2014,Saffron Books,1872843896,English,1
Introducción a los mercados de futuros y opciones,John Hull,2019,empty,9788448101008,English,1
尚未结束的历史,"戈尔巴乔夫, 斯拉文, Горбачева, Славиным, 桂兰·李",2016,empty,7801096222,English,1
高野人母美アクションポーズ,Tomomi Takan,2012,empty,9784766127133,English,1
The Unfinished Business,Yeo Bee Yin,2007,empty,9789675942259,English,1
ADS信号完整性仿真与实战,蒋修国,2007,empty,9787302528579,English,1
Nursing Lab Values,"BarCharts, Inc.",2021,empty,9781423233206,English,1
瞬間連写アクションポーズ 03 ヒロインアクション篇,ユーデンフレームワークス,2022,empty,4766123492,English,1
Continuous Symmetry,"William H. Barker, Roger Howe",2022,American Mathematical Soc.,0821839004,English,1
传热学,森吉尔,2022,empty,9787040206074,English,1
Maths for Chemistry,"Paul Monk, Lindsey J. Munro",2019,Oxford University Press,0198717326,English,1
Effective Public Relations and Media Strategy,Reddi C.V. Narasimha,2020,empty,8120336461,English,1
La casa sospesa sul nulla ,Alberica Sveva Simeone; Alessandro Girola,2020,empty,9798359605236,English,1
Novelist As a Vocation,Haruki Murakami,2021,Harvill Secker,1911215388,English,1
折り紙王子の凄ワザ!折り紙ジャポニスム,有澤悠河,2021,empty,9784309292298,English,1
数字图像处理,蔡利梅,2003,empty,9787302518228,English,1
The Heroine's Journey Workbook,Maureen Murdock,2018,Shambhala Publications,9781611808315,English,1
The Heroine's Journey,Maureen Murdock,2021,Shambhala Publications,9781611808308,English,1
"KS3 Spelling, Punctuation and Grammar All-in-One Complete Revision and Practice",Collins KS3,2021,Collins KS3 Revision,0008470510,English,1
Disintermediation Economics,"Eva Kaili, Dimitrios Psarrakis",2021,Palgrave Macmillan,3030657809,English,1
Meditation Without Gurus,Clark Strand,2001,Skylight Paths Publishing,9781683361923,English,1
"International Economics: Theory and Policy, Global Edition","PAUL. OBSTFELD KRUGMAN (MAURICE. MELITZ, MARC.), Maurice Obstfeld, Marc Melitz",2021,empty,1292409711,dutch,1
The Emotion Thesaurus,"Angela Ackerman, Becca Puglisi",2019,empty,0999296345,english,1
"Man, Play, and Games",Roger Caillois,2001,University of Illinois Press,9780252070334,english,1
Spelling Words for Year 5,Stp Books,2020,Stp Books,1912956187,english,1
Inclusive Teaching: Strategies for Promoting Equity in the College Classroom ,Kelly A. Hogan and Viji Sathy,2022,empty,9781952271649,english,1
Walter Benjamin,Momme Brodersen,1998,Verso Books,9781859840825,english,1
Playa Blanca,Linda van Rijn,2022,empty,9789460686139,chinese,1
破惘,李天命,2009,empty,9789888026197,English,1
Messy Beautiful Friendship,Christine Hoover,2017,Baker Books,0801019370,English,1
Merchant Cultures,Catia Antunes,2022,BRILL,9789004506572,English,1
A Crown of Ivy and Glass,Claire Legrand,2023,Sourcebooks Casablanca,172823199X,English,1
World war II- day by day,Jaideep gupte,2022,empty,1685389090,English,1
That Summer in Berlin,Lecia Cornwall,2013,National Geographic Books,0593197941,English,1
聲的資本主義,吉見俊哉,2021,empty,9789866525698,English,1
A Distant Voice,"Neil Richards, Matthew Costello",2021,Red Dog Press,9781913331184,English,1
The Wrong Man,"Neil Richards, Matthew Costello",2002,Red Dog Press,9781913331955,English,1
临危受命,普里马科夫,2022,empty,9787506015967,English,1
Mydworth Mysteries - Danger in the Air (A Cosy Historical Mystery Series Book 6),Matthew Costello and Neil Richards,2007,empty,0837989990,English,1
Fais-moi une place,Emma Green,2007,Editions addictives,9791025757123,English,1
周杰伦成长密码,周杰伦,2020,empty,750067225X,English,1
周杰伦成长密码,周杰伦,2022,empty,9787500672258,English,1
Murder Wore A Mask,"Neil Richards, Matthew Costello",2019,Red Dog Press,9781913331139,English,1
Solenoid,Mircea Cartarescu,2007,empty,9781646052028,English,1
London Calling!,"Neil Richards, Matthew Costello",2022,Mydworth Mysteries,1913331121,English,1
The Doctor's Wife,John Glatt,2021,Macmillan,0312934289,English,1
"Early Modern Europe, 1450–1789",Merry E. Wiesner-Hanks,2022,Cambridge University Press,9781009184649,English,1
"The Land We Saw, the Times We Knew",Gerald Groemer,2019,empty,9780824892500,English,1
The Cambridge Illustrated History of China,Patricia Buckley Ebrey,2003,Cambridge University Press,9781009175586,English,1
The Woman Outside the Walls: A completely gripping WW2 historical novel about a heartbreaking secret ,Suzanne Goldring (,2021,empty,1803143967,English,1
A Little Night Murder,"Neil Richards, Matthew Costello",2021,empty,1913331113,English,1
We'll Meet Again (Anton Rider) ,Bartle Bull,2021,empty,1645407853,English,1
"Raffles, the Amateur Cracksman",Ernest William Hornung,2019,Penguin,0141439335,English,1
그로킹 심층 강화학습,미겔모랄레스,2021,empty,9791162244838,English,1
The End of All Things,Allan Batchelder,2022,empty,1952979595,English,1
수학으로 풀어보는 강화학습 원리와 알고리즘(위키북스 데이터 사이언스 시리즈 73),박성수,1990,empty,9791158392734,English,1
"Come, Seeling Night",Daniel Humphreys,1998,Paxton Locke,1949891372,English,1
선형대수와 통계학으로 배우는 머신러닝 with 파이썬,장철원,1998,empty,9791165920395,English,1
Arisen,Michael Stephen Fuchs,2007,Independently Published,9798837991578,English,1
"Pastry hors d'oeuvres, mini-sandwiches, canapés, assorted snacks, hot hors d'oeuvres, cold brochettes, centerpieces for buffets",Denis Ruffel,1989,Van Nostrand Reinhold Company,0442001398,English,1
Professional French Pastry Series,"Roland Bilheux, Alain Escoffier, Pierre Michalet",1989,Van Nostrand Reinhold,0442205694,English,1
"Doughs, Batters, and Meringues","Roland Bilheux, Alain Escoffier",1998,Wiley,0470244089,English,1
An Introductory Dictionary of Theology and Religious Studies,"Orlando O. Espín, James B. Nickoloff",2015,Liturgical Press,0814658563,English,1
The Professional French Pastry Series,"Roland Bilheux, Alain Escoffier",2022,Van Nostrand Reinhold Company,9780442205683,English,1
Special and Decorative Breads,Roland Bilheux,2018,Van Nostrand Reinhold,0442319541,English,1
"Creams, Confections, and Finished Desserts","Roland Bilheux, Alain Escoffier",2022,Wiley,0470244097,English,1
Social Infrastructure,"Douglas Durst, Bjarke Ingels",2017,Actar,1940291259,English,1
The Indo-Pacific Theatre,Srabani Roy Choudhury,2011,Routledge India,9781003342311,English,1
Made in Japan,Victionary,2000,Viction:ary,9789887774730,English,1
中文版PremierePro2022从入门到精通 微课视频全彩版,唯美世界，曹茂鹏,2019,empty,9787522608259,English,1
Psicogrammatica. Dattiloscritto inedito,Maria Montessori,2003,empty,8891741086,English,1
毫无PS痕迹：你的第一本Photoshop书（第二版）,赵鹏,2022,empty,9787517093176,chinese,1
中文版Photoshop 2022从入门到精通（微课视频全彩版）,唯美世界，瞿颖健,2022,empty,9787522605050,chinese,1
Illustrator 2022从入门到精通,敬伟,2022,empty,9787302605904,chinese,1
파워포인트 디자인 패턴 무작정 따라하기(CD1장포함)(무작정 따라하기 198),이승일,2009,empty,9788975608490,chinese,1
叠变：鸦片、枪炮与文明进程中的中国（1840-1915）,马勇,2022,empty,9787520211918,korean,1
모던 C++ 디자인 패턴,드미트리 네스터룩,2019,empty,9791160507676,chinese,1
Adobe Illustrator CC 2018 zhong wen ban jing dian jiao cheng,伍德,2020,empty,9787115527042,chinese,1
New Asian Disorder,Lowell Dittmer,2022,empty,9789888754618,english,1
The Rise of the Infrastructure State,"Seth Schindler, Jessica DiCarlo",2022,Policy Press,9781529220803,chinese,1
하루 15분 책읽어주기의 힘(아이의 두뇌를 깨우는),짐트렐리즈,2012,empty,9788989847571,english,1
书写者、武士和国王：科潘城邦和古代玛雅,威廉·L.费什,2022,empty,9787308227735,English,1
Kerberos域网络安全从入门到精通,杨湘和,2022,empty,9787301326992,English,1
惊蛰,杜阳林,2021,empty,9787533965099,English,1
